sample_index,log10_EI,xM_over_L,mode_index,mode_type,abs_q,energy_frac,phase_deg,re_q,im_q
1,-5.13803315281565,0.1534652822322437,0,rigid,2.795969965614619e-5,0.1886847617757248,2.234408814191893e-10,2.795969965614619e-5,1.0903665136379993e-16
1,-5.13803315281565,0.1534652822322437,1,rigid,1.4872972796925241e-5,0.05339091838387122,9.508774677490685e-10,1.4872972796925241e-5,2.4683100275844807e-16
1,-5.13803315281565,0.1534652822322437,2,elastic,2.2670117514344404e-5,0.12404502952500776,-6.291756593592652e-10,2.2670117514344404e-5,-2.4894479586551204e-16
1,-5.13803315281565,0.1534652822322437,3,elastic,4.8936308054742116e-5,0.578008502379791,179.99999999972405,-4.8936308054742116e-5,2.356959284397411e-16
1,-5.13803315281565,0.1534652822322437,4,elastic,1.0866698998798971e-5,0.028501459449424227,179.99999999951876,-1.0866698998798971e-5,9.126934978690036e-17
1,-5.13803315281565,0.1534652822322437,5,elastic,1.0059650542268158e-5,0.024425170978656662,-179.99999999997743,-1.0059650542268158e-5,-3.963899468853018e-18
1,-5.13803315281565,0.1534652822322437,6,elastic,3.4925225722617228e-6,0.0029440844767585216,1.6489859797293511e-10,3.4925225722617228e-6,1.0051561920425382e-17
1,-5.13803315281565,0.1534652822322437,7,elastic,1.7394702908740143e-8,7.303076591808862e-8,-5.518089125042969e-8,1.7394702908740143e-8,-1.6752633748905703e-17
2,-4.995176009958508,0.16563159160101146,0,rigid,2.795970009207936e-5,0.14078082996793578,-1.1188088803009702e-9,2.795970009207936e-5,-5.459662303124393e-16
2,-4.995176009958508,0.16563159160101146,1,rigid,1.6052048433083405e-5,0.04640229137092253,-1.317236409447866e-9,1.6052048433083405e-5,-3.6903839727758917e-16
2,-4.995176009958508,0.16563159160101146,2,elastic,2.1213152585644557e-5,0.08103804131298327,-1.1811861598179406e-9,2.1213152585644557e-5,-4.373216047186919e-16
2,-4.995176009958508,0.16563159160101146,3,elastic,6.2727364875351e-5,0.7085860385141345,179.99999999873683,-6.2727364875351e-5,1.3829215617403326e-15
2,-4.995176009958508,0.16563159160101146,4,elastic,9.46504904566256e-6,0.0161333383267457,179.99999999792598,-9.46504904566256e-6,3.426230269391071e-16
2,-4.995176009958508,0.16563159160101146,5,elastic,5.674322262649134e-6,0.005798377656260843,179.9999999986894,-5.674322262649134e-6,1.2979953279991609e-16
2,-4.995176009958508,0.16563159160101146,6,elastic,2.632452993705491e-6,0.001247957380510437,-1.719190125287581e-9,2.632452993705491e-6,-7.898814241682256e-17
2,-4.995176009958508,0.16563159160101146,7,elastic,2.699716670513509e-7,1.312547050705686e-5,179.99999999655827,-2.699716670513509e-7,1.621701442997693e-17
3,-4.780890295672793,0.18195731348809457,0,rigid,2.7959697108569838e-5,0.033864335304091026,1.4937445501804945e-11,2.7959697108569838e-5,7.289305693290623e-18
3,-4.780890295672793,0.18195731348809457,1,rigid,1.7633806627612606e-5,0.013470067715487307,1.1789850880914459e-11,1.7633806627612606e-5,3.628538652746037e-18
3,-4.780890295672793,0.18195731348809457,2,elastic,1.9319859575215665e-5,0.016169089384604856,1.2240020979768247e-10,1.9319859575215665e-5,4.127275840148432e-17
3,-4.780890295672793,0.18195731348809457,3,elastic,0.00014684954139322428,0.9341633402735521,179.99999999997797,-0.00014684954139322428,5.64837003595482e-17
3,-4.780890295672793,0.18195731348809457,4,elastic,6.751053518399281e-6,0.0019743344912503714,-179.99999999994796,-6.751053518399281e-6,-6.131309327800149e-18
3,-4.780890295672793,0.18195731348809457,5,elastic,2.3565293514164197e-6,0.00024055995718909098,179.999999999886,-2.3565293514164197e-6,4.688580823978997e-18
3,-4.780890295672793,0.18195731348809457,6,elastic,1.6112841450599576e-6,0.00011246616810860095,1.017238752066283e-10,1.6112841450599576e-6,2.8607005382843826e-18
3,-4.780890295672793,0.18195731348809457,7,elastic,3.6612222485029124e-7,5.8067057167781825e-6,179.9999999999243,-3.6612222485029124e-7,4.83753746112228e-19
4,-4.63803315281565,0.19208671182844902,0,rigid,2.7959695427252816e-5,0.003169657802352172,-3.281021925975513e-11,2.7959695427252816e-5,-1.6011017656102864e-17
4,-4.63803315281565,0.19208671182844902,1,rigid,1.861941002766004e-5,0.001405656928010576,-8.339692570252586e-11,1.861941002766004e-5,-2.7101499759630264e-17
4,-4.63803315281565,0.19208671182844902,2,elastic,1.8260195265351754e-5,0.0013519428721855472,-3.987860303389363e-11,1.8260195265351754e-5,-1.2709331900128507e-17
4,-4.63803315281565,0.19208671182844902,3,elastic,0.000495116635237812,0.9939454323293692,-3.121568318187966e-11,0.000495116635237812,-2.6974768743887824e-16
4,-4.63803315281565,0.19208671182844902,4,elastic,5.290137139983455e-6,0.00011347008158462847,179.9999999999197,-5.290137139983455e-6,7.413576781793284e-18
4,-4.63803315281565,0.19208671182844902,5,elastic,1.4174300134717337e-6,8.146119088203918e-6,179.99999999996277,-1.4174300134717337e-6,9.210791035624068e-19
4,-4.63803315281565,0.19208671182844902,6,elastic,1.1242190701141401e-6,5.1244752697953205e-6,-1.2200298027344126e-10,1.1242190701141401e-6,-2.3938600399501445e-18
4,-4.63803315281565,0.19208671182844902,7,elastic,3.747416641088134e-7,5.693921399805413e-7,179.99999999978127,-3.747416641088134e-7,1.4305157037814612e-18
5,-4.495176009958507,0.20198732178705447,0,rigid,2.7959694041827195e-5,0.1230894495728468,2.973532217635378e-11,2.7959694041827195e-5,1.4510501774326674e-17
5,-4.495176009958507,0.20198732178705447,1,rigid,1.9576378835685326e-5,0.06034214189356643,-8.007200045703006e-11,1.9576378835685326e-5,-2.7358381863363566e-17
5,-4.495176009958507,0.20198732178705447,2,elastic,1.7385874169469962e-5,0.04759365568905341,-7.20954835204031e-11,1.7385874169469962e-5,-2.1876707417631442e-17
5,-4.495176009958507,0.20198732178705447,3,elastic,6.975488940788405e-5,0.7661350109704141,6.24753704421234e-11,6.975488940788405e-5,7.606079527920296e-17
5,-4.495176009958507,0.20198732178705447,4,elastic,4.116215154100283e-6,0.0026677930367843645,179.99999999994478,-4.116215154100283e-6,3.9678523194662186e-18
5,-4.495176009958507,0.20198732178705447,5,elastic,6.468708735036553e-7,6.58857044338768e-5,179.9999999998954,-6.468708735036553e-7,1.1810773190173537e-18
5,-4.495176009958507,0.20198732178705447,6,elastic,7.649397766877798e-7,9.213199804127548e-5,4.390827611866532e-11,7.649397766877798e-7,5.862069983931064e-19
5,-4.495176009958507,0.20198732178705447,7,elastic,2.974508731323668e-7,1.3931134859871257e-5,179.99999999988452,-2.974508731323668e-7,5.994360266290202e-19
6,-4.280890295672792,0.21767386848766684,0,rigid,2.79596924266844e-5,0.3836762859626162,9.653108850404184e-11,2.79596924266844e-5,4.710607949002253e-17
6,-4.280890295672792,0.21767386848766684,1,rigid,2.1096392104891635e-5,0.2184321476503196,2.0294993726679618e-11,2.1096392104891635e-5,7.472647183839946e-18
6,-4.280890295672792,0.21767386848766684,2,elastic,1.6406484678803025e-5,0.13210864945272002,-2.2555402991175152e-11,1.6406484678803025e-5,-6.458675957352995e-18
6,-4.280890295672792,0.21767386848766684,3,elastic,2.3095505826154594e-5,0.26179125494189387,3.6131690559975556e-11,2.3095505826154594e-5,1.4564417779606157e-17
6,-4.280890295672792,0.21767386848766684,4,elastic,2.8135278715706637e-6,0.0038851037569119368,179.99999999998727,-2.8135278715706637e-6,6.245027587397538e-19
6,-4.280890295672792,0.21767386848766684,5,elastic,1.1152129532722026e-7,6.104017759142725e-6,-179.999999999805,-1.1152129532722026e-7,-3.7956017616075255e-19
6,-4.280890295672792,0.21767386848766684,6,elastic,4.0172227252727214e-7,7.920489085376792e-5,2.1247746566567378e-10,4.0172227252727214e-7,1.4897594743180062e-18
6,-4.280890295672792,0.21767386848766684,7,elastic,2.0807624412532866e-7,2.124932692547617e-5,179.9999999999931,-2.0807624412532866e-7,2.5039773194910142e-20
7,-4.13803315281565,0.22995310856115872,0,rigid,2.795969164648612e-5,0.4550894417232093,-7.187048692214132e-11,2.795969164648612e-5,-3.50719838337667e-17
7,-4.13803315281565,0.22995310856115872,1,rigid,2.2286400167855307e-5,0.28914244789444293,2.400867334621038e-11,2.2286400167855307e-5,9.338679152987082e-18
7,-4.13803315281565,0.22995310856115872,2,elastic,1.5900506853429612e-5,0.14718174292848074,8.561930854108199e-11,1.5900506853429612e-5,2.3760744924196952e-17
7,-4.13803315281565,0.22995310856115872,3,elastic,1.347880624249725e-5,0.10576326895093009,2.1671392336565923e-11,1.347880624249725e-5,5.098185255390683e-18
7,-4.13803315281565,0.22995310856115872,4,elastic,2.1823845873768803e-6,0.0027726469729279788,-179.99999999986105,-2.1823845873768803e-6,-5.29266742380297e-18
7,-4.13803315281565,0.22995310856115872,5,elastic,7.25989460295707e-8,3.068263377521065e-6,-6.22514957847853e-10,7.25989460295707e-8,-7.887828774033461e-19
7,-4.13803315281565,0.22995310856115872,6,elastic,2.395807072034465e-7,3.3414555628413974e-5,1.2708505795644549e-11,2.395807072034465e-7,5.3140263242677795e-20
7,-4.13803315281565,0.22995310856115872,7,elastic,1.5490383283231217e-7,1.3968711003010681e-5,179.99999999993742,-1.5490383283231217e-7,1.69227693400745e-19
8,-3.9237474385299347,0.2528999497529002,0,rigid,2.7959689906990838e-5,0.4679333044802329,3.317709888906646e-12,2.7959689906990838e-5,1.6190047588759394e-18
8,-3.9237474385299347,0.2528999497529002,1,rigid,2.4510284834014408e-5,0.3595969272902879,-8.096516944459949e-12,2.4510284834014408e-5,-3.463569885227337e-18
8,-3.9237474385299347,0.2528999497529002,2,elastic,1.5633540965724e-5,0.1462965105952995,-9.7504028810636e-11,1.5633540965724e-5,-2.6604633738967818e-17
8,-3.9237474385299347,0.2528999497529002,3,elastic,6.444034456299353e-6,0.024856213094614683,-4.0797236552540537e-11,6.444034456299353e-6,-4.5884496257938006e-18
8,-3.9237474385299347,0.2528999497529002,4,elastic,1.4644459555285209e-6,0.0012837071304724465,-179.99999999992843,-1.4644459555285209e-6,-1.8298389423243007e-18
8,-3.9237474385299347,0.2528999497529002,5,elastic,2.0668001858122393e-7,2.556914697107528e-5,-3.8694181665530626e-11,2.0668001858122393e-7,-1.3957946385546776e-19
8,-3.9237474385299347,0.2528999497529002,6,elastic,7.54459059366812e-8,3.4071449589788107e-6,2.390727716074153e-11,7.54459059366812e-8,3.1480611647139436e-20
8,-3.9237474385299347,0.2528999497529002,7,elastic,8.535702094392741e-8,4.36111716271398e-6,-179.9999999998456,-8.535702094392741e-8,-2.300366819441013e-19
9,-3.709461724244222,0.2872040586040138,0,rigid,2.795967963003116e-5,0.4282637676687634,3.604991792098535e-11,2.795967963003116e-5,1.7591944194240798e-17
9,-3.709461724244222,0.2872040586040138,1,rigid,2.783467879269629e-5,0.42444300411899294,-7.236638632441242e-11,2.783467879269629e-5,-3.5156081928657e-17
9,-3.709461724244222,0.2872040586040138,2,elastic,1.612602452662298e-5,0.1424628353971367,9.746877058315827e-10,1.612602452662298e-5,2.7432802177774955e-16
9,-3.709461724244222,0.2872040586040138,3,elastic,2.815140328636776e-6,0.004341572407602839,8.626694631738513e-11,2.815140328636776e-6,4.238594215320241e-18
9,-3.709461724244222,0.2872040586040138,4,elastic,9.127002543066017e-7,0.00045635550609175626,-179.99999999997408,-9.127002543066017e-7,-4.132600433628118e-19
9,-3.709461724244222,0.2872040586040138,5,elastic,2.406545241430297e-7,3.1727438635491864e-5,1.8445464338654415e-10,2.406545241430297e-7,7.747489397543759e-19
9,-3.709461724244222,0.2872040586040138,6,elastic,2.7125700470508976e-8,4.0309635905305293e-7,179.99999999954562,-2.7125700470508976e-8,2.1512990183444777e-19
9,-3.709461724244222,0.2872040586040138,7,elastic,2.4705170209007345e-8,3.343664178008027e-7,-179.99999999794431,-2.4705170209007345e-8,-8.8638254176271e-19
10,-3.566604581387079,0.31575840144645556,0,rigid,2.7959608936037805e-5,0.4041406353579559,-1.0803502561429442e-11,2.7959608936037805e-5,-5.2719713271041245e-18
10,-3.566604581387079,0.31575840144645556,1,rigid,3.0599988771220204e-5,0.48407523908158473,-2.2714118362515546e-11,3.0599988771220204e-5,-1.213094180318188e-17
10,-3.566604581387079,0.31575840144645556,2,elastic,1.4631182981453951e-5,0.1106698236448113,7.778530279629914e-11,1.4631182981453951e-5,1.986343511079371e-17
10,-3.566604581387079,0.31575840144645556,3,elastic,1.3278238757519115e-6,0.0009114886840651693,2.048046903361318e-10,1.3278238757519115e-6,4.7463279146450846e-18
10,-3.566604581387079,0.31575840144645556,4,elastic,5.883927269213376e-7,0.00017898017402111623,-179.999999999777,-5.883927269213376e-7,-2.2900269143376926e-18
10,-3.566604581387079,0.31575840144645556,5,elastic,2.0694189267659643e-7,2.2139467347086936e-5,-1.4853370379086198e-10,2.0694189267659643e-7,-5.364766139838897e-19
10,-3.566604581387079,0.31575840144645556,6,elastic,5.7041353432984844e-8,1.682092899365438e-6,179.99999999966286,-5.7041353432984844e-8,3.3563928329878223e-19
10,-3.566604581387079,0.31575840144645556,7,elastic,4.715883303688237e-9,1.1497315099262613e-8,1.7219099918683963e-9,4.715883303688237e-9,1.4172643517751613e-19
11,-3.352318867101364,0.3776663085526448,0,rigid,2.795609121863987e-5,0.3374966340614691,1.1473375673041857e-12,2.795609121863987e-5,5.598156437125441e-19
11,-3.352318867101364,0.3776663085526448,1,rigid,3.649836082665933e-5,0.5752587971053347,1.183247546437481e-11,3.649836082665933e-5,7.537482911332718e-18
11,-3.352318867101364,0.3776663085526448,2,elastic,1.421077275390106e-5,0.08720711863156051,-4.291165637715655e-11,1.421077275390106e-5,-1.064315386668269e-17
11,-3.352318867101364,0.3776663085526448,3,elastic,2.439784110957952e-7,2.5705102821672165e-5,-179.99999999995606,-2.439784110957952e-7,-1.8710411179570302e-19
11,-3.352318867101364,0.3776663085526448,4,elastic,1.293974467959972e-7,7.230493872263026e-6,179.99999999942378,-1.293974467959972e-7,1.3013692370248396e-18
11,-3.352318867101364,0.3776663085526448,5,elastic,8.878531060863752e-8,3.404072372561435e-6,2.702710643756194e-10,8.878531060863752e-8,4.1881095960370725e-19
11,-3.352318867101364,0.3776663085526448,6,elastic,4.6055672309107337e-8,9.15973271451541e-7,179.99999999996095,-4.6055672309107337e-8,3.139893404004053e-20
11,-3.352318867101364,0.3776663085526448,7,elastic,2.1225978531613234e-8,1.9455929746110627e-7,2.6141917020880467e-10,2.1225978531613234e-8,9.684618556131627e-20
12,-3.2094617242442216,0.44561187888134,0,rigid,2.791412546482164e-5,0.28584334080633406,-4.081872912880881e-11,2.791412546482164e-5,-1.988661531266846e-17
12,-3.2094617242442216,0.44561187888134,1,rigid,4.186664100976962e-5,0.6430078334830194,1.9544510778710643e-11,4.186664100976962e-5,1.428138378494384e-17
12,-3.2094617242442216,0.44561187888134,2,elastic,1.3891511805382016e-5,0.07079116367340686,6.998026002239424e-11,1.3891511805382016e-5,1.6966897326579286e-17
12,-3.2094617242442216,0.44561187888134,3,elastic,9.754162765188843e-7,0.0003490278027679515,179.99999999996393,-9.754162765188843e-7,6.143505083119499e-19
12,-3.2094617242442216,0.44561187888134,4,elastic,1.5125628252121834e-7,8.392799950739137e-6,-5.925859830646004e-10,1.5125628252121834e-7,-1.5643796739350997e-18
12,-3.2094617242442216,0.44561187888134,5,elastic,2.539017676026588e-8,2.3648928888703996e-7,-179.99999999956685,-2.539017676026588e-8,-1.9194743481151597e-19
12,-3.2094617242442216,0.44561187888134,6,elastic,5.193418052866719e-10,9.894334606216816e-11,5.777671209743181e-8,5.193418052866719e-10,5.237010861743718e-19
12,-3.2094617242442216,0.44561187888134,7,elastic,3.634667028734841e-9,4.846288782126481e-9,2.196106292356253e-9,3.634667028734841e-9,1.393141903340688e-19
